paper_result_id,family,method_name,variant_or_protocol,sequence_count,gt_valid,est_valid,failure,mae_s,e_ttc_pct,status,code_entry,config,raw_run_directory,requires_full_dataset,requires_external_code,reproduction_command
R001,post_v13,PostV13Frontier,PostV13LowObservabilityAudit_v2 / center_w11 + iqr_modelstd_gate + CPNA/CPNAO smooth-ratio guard,32,3738,2509,1483,0.231,6.86,final low-observability guarded frontier；比最高覆盖 row 少 21 个 interval，但 margin 更稳，V13-valid coverage 77.0% / gt_valid coverage 67.1%，不是 traditional V13 或 online estimator,Code/scripts/analysis/run_post_v13_low_observability_audit.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/PostV13LowObservabilityAudit_v2,True,False,python Code/scripts/analysis/run_post_v13_low_observability_audit.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name PostV13LowObservabilityAudit_v2
R002,post_v13,PostV13Frontier,V13ConsistencyGate_centerWideSweep_v1 / center_rolling_median_w11 + iqr_modelstd_gate target6.875,32,3738,2530,1462,0.232,6.95,highest-coverage sub-7% offline frontier；V13-valid coverage 77.6% / gt_valid coverage 67.7%，但依赖 centered smoothing，不是 traditional V13 或 strict online estimator,Code/scripts/analysis/run_post_v13_consistency_gate.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/V13ConsistencyGate_centerWideSweep_v1,True,False,python Code/scripts/analysis/run_post_v13_consistency_gate.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name V13ConsistencyGate_centerWideSweep_v1
R003,post_v13,PostV13Frontier,V13ConfidenceGate_iqrStd_target6p5_v2 / V13FrontierLGBM_full_v2 + OOF confidence gate / iqr_modelstd_gate,32,3738,1870,2122,0.199,6.602,post-V13 confidence-gated calibration；达到 <7%，但覆盖率降到 V13-valid 的 57.4% / gt_valid 的 50.0%,Code/scripts/analysis/run_post_v13_confidence_gate.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/V13ConfidenceGate_iqrStd_target6p5_v2,True,False,python Code/scripts/analysis/run_post_v13_confidence_gate.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name V13ConfidenceGate_iqrStd_target6p5_v2
R004,post_v13,PostV13Frontier,V13ConfidenceGate_iqrStd_target6p8_v2 / V13FrontierLGBM_full_v2 + OOF confidence gate / iqr_modelstd_gate,32,3738,1986,2006,0.209,6.816,post-V13 higher-coverage <7% operating point；覆盖率为 V13-valid 的 60.9% / gt_valid 的 53.1%,Code/scripts/analysis/run_post_v13_confidence_gate.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/V13ConfidenceGate_iqrStd_target6p8_v2,True,False,python Code/scripts/analysis/run_post_v13_confidence_gate.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name V13ConfidenceGate_iqrStd_target6p8_v2
R005,post_v13,PostV13Frontier,V13ConfidenceGate_iqrStd_target6p9_v2 / V13FrontierLGBM_full_v2 + OOF confidence gate / iqr_modelstd_gate,32,3738,2054,1938,0.216,6.988,post-V13 current highest-coverage <7% boundary point；32 条 sequence 均非空，覆盖率为 V13-valid 的 63.0% / gt_valid 的 54.9%，但距离 7% 余量很窄,Code/scripts/analysis/run_post_v13_confidence_gate.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/V13ConfidenceGate_iqrStd_target6p9_v2,True,False,python Code/scripts/analysis/run_post_v13_confidence_gate.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name V13ConfidenceGate_iqrStd_target6p9_v2
R006,post_v13,PostV13Frontier,V13FrontierLGBM_full_v2 / V13-valid fixed set + LightGBM L1/L2 geometric ensemble / grouped OOF,32,3738,3259,733,0.37,9.967,post-V13 learned calibration；达到 <10% 目标，但只在 V13-valid 固定集合上评估,Code/scripts/analysis/run_v13_frontier_tabular.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/V13FrontierLGBM_full_v2,True,False,python Code/scripts/analysis/run_v13_frontier_tabular.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name V13FrontierLGBM_full_v2
R007,post_v13,PostV13Frontier,V13FrontierLGBM_noSeqMeta_full_v1 / same as above but no sequence-name metadata,32,3738,3259,733,0.417,11.301,ablation；仍明显优于 V13，但不能接近 10%，说明 <10% 结果依赖 dataset-condition metadata,Code/scripts/analysis/run_v13_frontier_tabular.py,configs/post_v13/frontier_audits.json,Code/Experiments/PostV13Frontier/V13FrontierLGBM_noSeqMeta_full_v1,True,False,python Code/scripts/analysis/run_v13_frontier_tabular.py --output-root ${EVTTC_OUTPUT_ROOT}/PostV13Frontier --run-name V13FrontierLGBM_noSeqMeta_full_v1
R008,traditional,SparsityAwareLTS,BBoxLoomingV13_20260427_212537 / V12 + stable-growth high-confidence quantile / no LTS fallback,32,3738,3259,733,0.492,14.41,当前最高精度高置信传统结果,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV13_20260427_212537,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV13 --disable-lts-fallback
R009,traditional,SparsityAwareLTS,BBoxLoomingV12_20260427_211152 / V11 + phase-aware high-confidence quantile / no LTS fallback,32,3738,3259,733,0.505,14.765,已被 V13 高置信结果超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV12_20260427_211152,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV12 --disable-lts-fallback
R010,traditional,SparsityAwareLTS,BBoxLoomingV11_20260427_193807 / V10 + low-confidence rejection / no LTS fallback,32,3738,3259,733,0.529,15.855,已被 V12/V13 高置信结果超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV11_20260427_193807,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV11 --disable-lts-fallback
R011,traditional,SparsityAwareLTS,BBoxLoomingV10_20260427_173440 / V8 + selective history bbox collapse guard / no LTS fallback,32,3738,3694,298,0.71,18.064,当前最高精度高覆盖传统结果,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV10_20260427_173440,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV10 --disable-lts-fallback
R012,traditional,SparsityAwareLTS,BBoxLoomingV10_20260427_173516 / V8 + selective history bbox collapse guard / LTS fallback,32,3738,3738,254,0.747,18.616,覆盖最高，但旧 LTS fallback 仍伤害精度,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV10_20260427_173516,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV10
R013,traditional,SparsityAwareLTS,BBoxLoomingV11_20260427_193829 / V10 + low-confidence rejection / LTS fallback,32,3738,3726,266,0.964,22.465,rejected；fallback 对低质量样本伤害明显,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV11_20260427_193829,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV11
R014,traditional,SparsityAwareLTS,BBoxLoomingV5_20260427_160257 / V4 + quality gate / no LTS fallback,32,3738,3204,788,0.533,15.888,证明质量门控有效；已被 V11/V13 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV5_20260427_160257,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV5 --disable-lts-fallback
R015,traditional,SparsityAwareLTS,BBoxLoomingV9_20260427_173252 / V8 + unconditional history bbox collapse guard / no LTS fallback,32,3738,3694,298,0.708,18.065,已被更保守 V10 替代,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV9_20260427_173252,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV9 --disable-lts-fallback
R016,traditional,SparsityAwareLTS,BBoxLoomingV8_20260427_171345 / V7 + current bbox collapse guard / no LTS fallback,32,3738,3694,298,0.716,18.393,已被 V10 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV8_20260427_171345,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV8 --disable-lts-fallback
R017,traditional,SparsityAwareLTS,BBoxLoomingV8_20260427_171518 / V7 + current bbox collapse guard / LTS fallback,32,3738,3738,254,0.753,18.941,已被 V10 fallback 结果超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV8_20260427_171518,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV8
